Scientific_name,Ensembl_Assembly
Mus_musculus,GRCm39
Mus_pahari,PAHARI_EIJ_v1.1
Mus_spicilegus,MUSP714
Mus_spretus,SPRET_EiJ_v1
Mustela_putorius_furo,MusPutFur1.0
Myotis_lucifugus,Myoluc2.0
Myripristis_murdjan,fMyrMur1.1
Naja_naja,Nana_v5
Nannospalax_galili,S.galili_v1.0
Neogobius_melanostomus,RGoby_Basel_V2
Neolamprologus_brichardi,NeoBri1.0
Neovison_vison,NNQGG.v01
Nomascus_leucogenys,Nleu_3.0
Notamacropus_eugenii,Meug_1.0
Notechis_scutatus,TS10Xv2-PRI
Nothobranchius_furzeri,Nfu_20140520
Nothoprocta_perdicaria,notPer1
Numida_meleagris,NumMel1.0
Ochotona_princeps,OchPri2.0-Ens
Octodon_degus,OctDeg1.0
Oncorhynchus_kisutch,Okis_V2
Oncorhynchus_mykiss,Omyk_1.0
Oncorhynchus_tshawytscha,Otsh_v1.0
Oreochromis_aureus,ASM587006v1
Oreochromis_niloticus,O_niloticus_UMD_NMBU
Ornithorhynchus_anatinus,mOrnAna1.p.v1
Oryctolagus_cuniculus,OryCun2.0
Oryzias_javanicus,OJAV_1.1
Oryzias_latipes,ASM223471v1
Oryzias_melastigma,Om_v0.7.RACA
Oryzias_sinensis,ASM858656v1
Otolemur_garnettii,OtoGar3
Otus_sunia,OtuSun1.0
Ovis_aries,Oar_rambouillet_v1.0
Pan_paniscus,panpan1.1
Pan_troglodytes,Pan_tro_3.0
Panthera_leo,PanLeo1.0
Panthera_pardus,PanPar1.0
Panthera_tigris_altaica,PanTig1.0
Papio_anubis,Panubis1.0
Parambassis_ranga,fParRan2.1
Paramormyrops_kingsleyae,PKINGS_0.1
Parus_major,Parus_major1.1
Pavo_cristatus,AIIM_Pcri_1.0
Pelodiscus_sinensis,PelSin_1.0
Pelusios_castaneus,Pelusios_castaneus-1.0
Periophthalmus_magnuspinnatus,PM.fa
Peromyscus_maniculatus_bairdii,HU_Pman_2.1
Petromyzon_marinus,Pmarinus_7.0
Phascolarctos_cinereus,phaCin_unsw_v4.1
Phasianus_colchicus,ASM414374v1
Phocoena_sinus,mPhoSin1.pri
Physeter_catodon,ASM283717v2
Piliocolobus_tephrosceles,ASM277652v2
Podarcis_muralis,PodMur_1.0
Poecilia_formosa,Poecilia_formosa-5.1.2
Poecilia_latipinna,P_latipinna-1.0
Poecilia_mexicana,P_mexicana-1.0
Poecilia_reticulata,Guppy_female_1.0_MT
Pogona_vitticeps,pvi1.1
Pongo_abelii,Susie_PABv2
Procavia_capensis,proCap1
Prolemur_simus,Prosim_1.0
Propithecus_coquereli,Pcoq_1.0
Pseudonaja_textilis,EBS10Xv2-PRI
Pteropus_vampyrus,pteVam1
Pundamilia_nyererei,PunNye1.0
Pygocentrus_nattereri,Pygocentrus_nattereri-1.0.2
Rattus_norvegicus,mRatBN7.2
Rhinolophus_ferrumequinum,mRhiFer1_v1.p
Rhinopithecus_bieti,ASM169854v1
Rhinopithecus_roxellana,Rrox_v1
Saccharomyces_cerevisiae,R64-1-1
Saimiri_boliviensis_boliviensis,SaiBol1.0
Salarias_fasciatus,fSalaFa1.1
Salmo_salar,ICSASG_v2
Salmo_trutta,fSalTru1.1
Salvator_merianae,HLtupMer3
Sander_lucioperca,SLUC_FBN_1
Sarcophilus_harrisii,mSarHar1.11
Sciurus_vulgaris,mSciVul1.1
Scleropages_formosus,fSclFor1.1
Scophthalmus_maximus,ASM1334776v1
Serinus_canaria,SCA1
Seriola_dumerili,Sdu_1.0
Seriola_lalandi_dorsalis,Sedor1
Sinocyclocheilus_anshuiensis,SAMN03320099.WGS_v1.1
Sinocyclocheilus_grahami,SAMN03320097.WGS_v1.1
Sinocyclocheilus_rhinocerous,SAMN03320098_v1.1
Sorex_araneus,sorAra1
Sparus_aurata,fSpaAur1.1
Spermophilus_dauricus,ASM240643v1
Sphaeramia_orbicularis,fSphaOr1.1
Sphenodon_punctatus,ASM311381v1
